Data Structure,Number of Nodes,Density,User Time,Add Time,GetNext Time,Update Time
Priority Queue,1000,0.1,0.1350,0.0006,0.0107,0.0631
Binary Heap,1000,0.1,1.5617,0.1547,0.0751,1.2585
Bucket Queue,1000,0.1,0.2551,0.0079,0.0030,0.0399
LL Priority Queue,1000,0.1,0.7241,0.0026,0.0018,0.5259
Priority Queue,1000,0.1,0.3637,0.0005,0.0339,0.0878
Binary Heap,1000,0.1,2.0408,0.2060,0.1632,1.4625
Bucket Queue,1000,0.1,0.1253,0.0027,0.0012,0.0368
LL Priority Queue,1000,0.1,0.6302,0.0080,0.0008,0.5320
Priority Queue,1000,0.1,0.1662,0.0006,0.0137,0.0702
Binary Heap,1000,0.1,1.5903,0.1698,0.0760,1.2692
Bucket Queue,1000,0.1,0.1975,0.0027,0.0023,0.0397
LL Priority Queue,1000,0.1,0.6585,0.0021,0.0013,0.5067
Priority Queue,1000,0.1,0.2762,0.0055,0.0251,0.0710
Binary Heap,1000,0.1,1.8208,0.1643,0.1339,1.3739
Bucket Queue,1000,0.1,0.3265,0.0029,0.0042,0.0404
LL Priority Queue,1000,0.1,0.7611,0.0021,0.0022,0.5145
Priority Queue,1000,0.1,0.3869,0.0005,0.0324,0.0752
Binary Heap,1000,0.1,2.0003,0.1691,0.1695,1.4112
Bucket Queue,1000,0.1,0.2171,0.0025,0.0026,0.0403
LL Priority Queue,1000,0.1,0.6798,0.0023,0.0015,0.5144
Priority Queue,1000,0.1,0.2648,0.0007,0.0265,0.0770
Binary Heap,1000,0.1,1.8441,0.1752,0.1424,1.3608
Bucket Queue,1000,0.1,0.1699,0.0078,0.0018,0.0390
LL Priority Queue,1000,0.1,0.6201,0.0022,0.0010,0.5024
Priority Queue,1000,0.1,0.2368,0.0008,0.0214,0.0749
Binary Heap,1000,0.1,1.8039,0.1594,0.1308,1.3687
Bucket Queue,1000,0.1,0.1054,0.0025,0.0009,0.0354
LL Priority Queue,1000,0.1,0.5448,0.0088,0.0006,0.4658
Priority Queue,1000,0.1,0.1205,0.0006,0.0087,0.0627
Binary Heap,1000,0.1,1.6678,0.1613,0.0916,1.3241
Bucket Queue,1000,0.1,0.2764,0.0027,0.0038,0.0401
LL Priority Queue,1000,0.1,0.7291,0.0024,0.0019,0.5149
Priority Queue,1000,0.1,0.2921,0.0059,0.0255,0.0773
Binary Heap,1000,0.1,1.9220,0.1876,0.1631,1.3527
Bucket Queue,1000,0.1,0.1392,0.0027,0.0014,0.0388
LL Priority Queue,1000,0.1,0.5925,0.0025,0.0008,0.5010
Priority Queue,1000,0.1,0.1778,0.0005,0.0158,0.0704
Binary Heap,1000,0.1,1.6737,0.1634,0.0922,1.3262
Bucket Queue,1000,0.1,0.1087,0.0025,0.0010,0.0353
LL Priority Queue,1000,0.1,0.5604,0.0027,0.0006,0.4887
Priority Queue,1000,0.1,0.1480,0.0006,0.0119,0.0695
Binary Heap,1000,0.1,1.5341,0.1601,0.0634,1.2493
Bucket Queue,1000,0.1,0.2323,0.0081,0.0030,0.0406
LL Priority Queue,1000,0.1,0.6884,0.0022,0.0015,0.5143
Priority Queue,1000,0.1,0.2196,0.0006,0.0204,0.0748
Binary Heap,1000,0.1,1.7974,0.1690,0.1260,1.3655
Bucket Queue,1000,0.1,0.2445,0.0025,0.0028,0.0409
LL Priority Queue,1000,0.1,0.7462,0.0214,0.0016,0.5373
Priority Queue,1000,0.1,0.2918,0.0005,0.0259,0.0729
Binary Heap,1000,0.1,1.9426,0.1830,0.1530,1.4151
Bucket Queue,1000,0.1,0.2264,0.0024,0.0027,0.0383
LL Priority Queue,1000,0.1,0.6639,0.0022,0.0014,0.4963
Priority Queue,1000,0.1,0.2648,0.0004,0.0243,0.0742
Binary Heap,1000,0.1,1.9222,0.1847,0.1494,1.4137
Bucket Queue,1000,0.1,0.2523,0.0030,0.0030,0.0426
LL Priority Queue,1000,0.1,0.7109,0.0026,0.0015,0.5323
Priority Queue,1000,0.1,0.3045,0.0005,0.0274,0.0745
Binary Heap,1000,0.1,1.9469,0.1787,0.1653,1.3773
Bucket Queue,1000,0.1,0.1517,0.0060,0.0015,0.0389
LL Priority Queue,1000,0.1,0.6359,0.0028,0.0008,0.5365
Priority Queue,1000,0.1,0.1492,0.0005,0.0121,0.0678
Binary Heap,1000,0.1,1.6896,0.1642,0.0896,1.3471
Bucket Queue,1000,0.1,0.2608,0.0025,0.0031,0.0417
LL Priority Queue,1000,0.1,0.7372,0.0083,0.0018,0.5250
Priority Queue,1000,0.1,0.2793,0.0005,0.0249,0.0739
Binary Heap,1000,0.1,1.8811,0.1773,0.1488,1.3741
Bucket Queue,1000,0.1,0.1622,0.0024,0.0018,0.0374
LL Priority Queue,1000,0.1,0.6464,0.0079,0.0011,0.5152
Priority Queue,1000,0.1,0.1986,0.0006,0.0176,0.0753
Binary Heap,1000,0.1,1.7920,0.1635,0.1248,1.3679
Bucket Queue,1000,0.1,0.0713,0.0027,0.0005,0.0322
LL Priority Queue,1000,0.1,0.4874,0.0021,0.0003,0.4438
Priority Queue,1000,0.1,0.1259,0.0006,0.0087,0.0667
Binary Heap,1000,0.1,1.4050,0.1619,0.0471,1.1504
Bucket Queue,1000,0.1,0.0533,0.0028,0.0003,0.0305
LL Priority Queue,1000,0.1,0.3843,0.0020,0.0002,0.3600
Priority Queue,1000,0.1,0.0700,0.0007,0.0035,0.0463
Binary Heap,1000,0.1,1.1224,0.1568,0.0251,0.9155
Bucket Queue,1000,0.1,0.1990,0.0064,0.0022,0.0398
LL Priority Queue,1000,0.1,0.6562,0.0022,0.0011,0.5238
Priority Queue,1000,0.1,0.2397,0.0005,0.0218,0.0727
Binary Heap,1000,0.1,1.7888,0.1674,0.1219,1.3661
Bucket Queue,1000,0.1,0.3218,0.0026,0.0044,0.0404
LL Priority Queue,1000,0.1,0.7854,0.0072,0.0024,0.5180
Priority Queue,1000,0.1,0.4024,0.0005,0.0315,0.0767
Binary Heap,1000,0.1,1.9846,0.1630,0.1744,1.3670
Bucket Queue,1000,0.1,0.0564,0.0026,0.0003,0.0312
LL Priority Queue,1000,0.1,0.4140,0.0080,0.0002,0.3797
Priority Queue,1000,0.1,0.0854,0.0008,0.0046,0.0536
Binary Heap,1000,0.1,1.2828,0.1609,0.0371,1.0488
Bucket Queue,1000,0.1,0.0864,0.0044,0.0006,0.0351
LL Priority Queue,1000,0.1,0.5103,0.0020,0.0004,0.4574
Priority Queue,1000,0.1,0.1057,0.0005,0.0066,0.0610
Binary Heap,1000,0.1,1.2994,0.1587,0.0384,1.0658
Bucket Queue,1000,0.1,0.1575,0.0030,0.0017,0.0380
LL Priority Queue,1000,0.1,0.6024,0.0020,0.0009,0.4920
Priority Queue,1000,0.1,0.2554,0.0005,0.0231,0.0749
Binary Heap,1000,0.1,1.8732,0.1583,0.1460,1.3923
Bucket Queue,1000,0.1,0.2415,0.0066,0.0028,0.0413
LL Priority Queue,1000,0.1,0.6694,0.0026,0.0015,0.4983
Priority Queue,1000,0.1,0.2582,0.0005,0.0239,0.0749
Binary Heap,1000,0.1,1.8745,0.1790,0.1506,1.3639
Bucket Queue,1000,0.1,0.0503,0.0026,0.0002,0.0296
LL Priority Queue,1000,0.1,0.3804,0.0209,0.0001,0.3393
Priority Queue,1000,0.1,0.0696,0.0008,0.0033,0.0476
Binary Heap,1000,0.1,1.0371,0.1593,0.0204,0.8369
Bucket Queue,1000,0.1,0.1244,0.0036,0.0012,0.0365
LL Priority Queue,1000,0.1,0.5678,0.0025,0.0006,0.4879
Priority Queue,1000,0.1,0.1651,0.0053,0.0132,0.0668
Binary Heap,1000,0.1,1.6247,0.1601,0.0801,1.3052
Bucket Queue,1000,0.1,0.1801,0.0025,0.0020,0.0382
LL Priority Queue,1000,0.1,0.6638,0.0024,0.0011,0.5334
Priority Queue,1000,0.1,0.2367,0.0005,0.0215,0.0735
Binary Heap,1000,0.1,1.8967,0.1604,0.1366,1.4431
Bucket Queue,1000,0.1,0.1991,0.0026,0.0023,0.0388
LL Priority Queue,1000,0.1,0.6596,0.0020,0.0012,0.5140
Priority Queue,1000,0.1,0.3009,0.0008,0.0275,0.0736
Binary Heap,1000,0.1,1.9388,0.1650,0.1605,1.4097
Bucket Queue,1000,0.1,0.0500,0.0074,0.0002,0.0278
LL Priority Queue,1000,0.1,0.3453,0.0021,0.0001,0.3249
Priority Queue,1000,0.1,0.0409,0.0006,0.0015,0.0306
Binary Heap,1000,0.1,0.9791,0.1505,0.0180,0.7918
Bucket Queue,1000,0.1,0.1805,0.0035,0.0020,0.0386
LL Priority Queue,1000,0.1,0.6519,0.0084,0.0012,0.5086
Priority Queue,1000,0.1,0.2055,0.0006,0.0187,0.0716
Binary Heap,1000,0.1,1.7954,0.1561,0.1311,1.3623
Bucket Queue,1000,0.1,0.1589,0.0026,0.0018,0.0384
LL Priority Queue,1000,0.1,0.6208,0.0088,0.0009,0.5026
Priority Queue,1000,0.1,0.2369,0.0005,0.0216,0.0767
Binary Heap,1000,0.1,1.8064,0.1568,0.1287,1.3791
Bucket Queue,1000,0.1,0.0684,0.0024,0.0004,0.0327
LL Priority Queue,1000,0.1,0.4580,0.0020,0.0003,0.4193
Priority Queue,1000,0.1,0.1171,0.0005,0.0083,0.0622
Binary Heap,1000,0.1,1.4349,0.1629,0.0523,1.1689
Bucket Queue,1000,0.1,0.3155,0.0028,0.0038,0.0386
LL Priority Queue,1000,0.1,0.7444,0.0020,0.0022,0.4909
Priority Queue,1000,0.1,0.3826,0.0005,0.0305,0.0724
Binary Heap,1000,0.1,1.9900,0.1642,0.1766,1.3848
Bucket Queue,1000,0.1,0.1854,0.0060,0.0019,0.0396
LL Priority Queue,1000,0.1,0.6327,0.0021,0.0010,0.5105
Priority Queue,1000,0.1,0.2243,0.0007,0.0205,0.0744
Binary Heap,1000,0.1,1.8243,0.1582,0.1300,1.3938
Bucket Queue,1000,0.1,0.1759,0.0025,0.0020,0.0392
LL Priority Queue,1000,0.1,0.6681,0.0090,0.0011,0.5313
Priority Queue,1000,0.1,0.2156,0.0005,0.0198,0.0695
Binary Heap,1000,0.1,1.8675,0.1649,0.1492,1.3730
Bucket Queue,1000,0.1,0.2174,0.0027,0.0026,0.0382
LL Priority Queue,1000,0.1,0.7008,0.0088,0.0014,0.5204
Priority Queue,1000,0.1,0.2670,0.0005,0.0251,0.0770
Binary Heap,1000,0.1,1.8669,0.1743,0.1540,1.3443
Bucket Queue,1000,0.1,0.2158,0.0042,0.0024,0.0448
LL Priority Queue,1000,0.1,0.6819,0.0023,0.0014,0.5239
Priority Queue,1000,0.1,0.2588,0.0007,0.0236,0.0781
Binary Heap,1000,0.1,1.8614,0.1959,0.1448,1.3477
Bucket Queue,1000,0.1,0.1322,0.0023,0.0014,0.0382
LL Priority Queue,1000,0.1,0.5909,0.0024,0.0007,0.5020
Priority Queue,1000,0.1,0.1515,0.0006,0.0121,0.0667
Binary Heap,1000,0.1,1.6530,0.1605,0.0961,1.2994
Bucket Queue,1000,0.1,0.3754,0.0237,0.0049,0.0418
LL Priority Queue,1000,0.1,0.7727,0.0022,0.0021,0.5157
Priority Queue,1000,0.1,0.4021,0.0004,0.0311,0.0771
Binary Heap,1000,0.1,1.9878,0.1619,0.1731,1.3847
Bucket Queue,1000,0.1,0.0807,0.0024,0.0005,0.0328
LL Priority Queue,1000,0.1,0.4825,0.0085,0.0003,0.4300
Priority Queue,1000,0.1,0.1231,0.0005,0.0091,0.0614
Binary Heap,1000,0.1,1.4500,0.1574,0.0589,1.1766
Bucket Queue,1000,0.1,0.2301,0.0043,0.0029,0.0385
LL Priority Queue,1000,0.1,0.6903,0.0024,0.0015,0.5221
Priority Queue,1000,0.1,0.2621,0.0057,0.0237,0.0686
Binary Heap,1000,0.1,1.8636,0.1840,0.1378,1.3845
Bucket Queue,1000,0.1,0.3427,0.0027,0.0042,0.0395
LL Priority Queue,1000,0.1,0.7623,0.0024,0.0024,0.5061
Priority Queue,1000,0.1,0.4147,0.0006,0.0335,0.0748
Binary Heap,1000,0.1,1.9870,0.1738,0.1751,1.3638
Bucket Queue,1000,0.1,0.1709,0.0027,0.0019,0.0378
LL Priority Queue,1000,0.1,0.6461,0.0019,0.0010,0.5187
Priority Queue,1000,0.1,0.2183,0.0006,0.0194,0.0769
Binary Heap,1000,0.1,1.6886,0.1579,0.1021,1.3227
Bucket Queue,1000,0.1,0.1699,0.0077,0.0018,0.0381
LL Priority Queue,1000,0.1,0.6135,0.0019,0.0009,0.4998
Priority Queue,1000,0.1,0.2208,0.0005,0.0205,0.0694
Binary Heap,1000,0.1,1.7787,0.1554,0.1257,1.3608
Bucket Queue,1000,0.1,0.2740,0.0027,0.0034,0.0392
LL Priority Queue,1000,0.1,0.7277,0.0082,0.0018,0.5164
Priority Queue,1000,0.1,0.2671,0.0005,0.0243,0.0729
Binary Heap,1000,0.1,1.9192,0.1808,0.1485,1.4134
Bucket Queue,1000,0.1,0.0622,0.0024,0.0004,0.0312
LL Priority Queue,1000,0.1,0.4502,0.0022,0.0002,0.4168
Priority Queue,1000,0.1,0.1068,0.0062,0.0065,0.0578
Binary Heap,1000,0.1,1.3212,0.1527,0.0405,1.0884
Bucket Queue,1000,0.1,0.2872,0.0032,0.0034,0.0412
LL Priority Queue,1000,0.1,0.7351,0.0019,0.0018,0.5144
Priority Queue,1000,0.1,0.3409,0.0005,0.0287,0.0782
Binary Heap,1000,0.1,1.9846,0.1635,0.1734,1.3935
Bucket Queue,1000,0.1,0.2778,0.0031,0.0034,0.0395
LL Priority Queue,1000,0.1,0.7173,0.0023,0.0017,0.5127
Priority Queue,1000,0.1,0.2904,0.0005,0.0266,0.0711
Binary Heap,1000,0.1,1.9176,0.1782,0.1613,1.3710
Bucket Queue,1000,0.1,0.2699,0.0070,0.0034,0.0408
LL Priority Queue,1000,0.1,0.7183,0.0022,0.0017,0.5134
Priority Queue,1000,0.1,0.2879,0.0005,0.0261,0.0721
Binary Heap,1000,0.1,1.9650,0.1793,0.1609,1.4201
Bucket Queue,1000,0.1,0.1867,0.0025,0.0023,0.0393
LL Priority Queue,1000,0.1,0.6554,0.0071,0.0011,0.5189
Priority Queue,1000,0.1,0.2414,0.0005,0.0224,0.0774
Binary Heap,1000,0.1,1.8121,0.1562,0.1337,1.3724
Bucket Queue,1000,0.1,0.0872,0.0025,0.0006,0.0346
LL Priority Queue,1000,0.1,0.5095,0.0025,0.0004,0.4554
Priority Queue,1000,0.1,0.1065,0.0064,0.0066,0.0581
Binary Heap,1000,0.1,1.4869,0.1548,0.0579,1.2172
Bucket Queue,1000,0.1,0.2565,0.0035,0.0035,0.0473
LL Priority Queue,1000,0.1,0.7008,0.0021,0.0016,0.5104
Priority Queue,1000,0.1,0.3439,0.0005,0.0294,0.0757
Binary Heap,1000,0.1,1.9134,0.1768,0.1566,1.3778
Bucket Queue,1000,0.1,0.2576,0.0150,0.0027,0.0376
LL Priority Queue,1000,0.1,0.6807,0.0024,0.0016,0.4846
Priority Queue,1000,0.1,0.3265,0.0005,0.0282,0.0700
Binary Heap,1000,0.1,1.8888,0.1798,0.1679,1.3086
Bucket Queue,1000,0.1,0.3481,0.0025,0.0044,0.0459
LL Priority Queue,1000,0.1,0.7587,0.0023,0.0023,0.5016
Priority Queue,1000,0.1,0.3662,0.0005,0.0302,0.0719
Binary Heap,1000,0.1,2.0076,0.1630,0.1743,1.4084
Bucket Queue,1000,0.1,0.1186,0.0024,0.0011,0.0350
LL Priority Queue,1000,0.1,0.5664,0.0085,0.0006,0.4798
Priority Queue,1000,0.1,0.1287,0.0006,0.0097,0.0609
Binary Heap,1000,0.1,1.5182,0.1578,0.0707,1.2208
Bucket Queue,1000,0.1,0.2992,0.0030,0.0035,0.0438
LL Priority Queue,1000,0.1,0.7438,0.0019,0.0021,0.5050
Priority Queue,1000,0.1,0.3424,0.0053,0.0290,0.0700
Binary Heap,1000,0.1,1.9113,0.1650,0.1682,1.3429
Bucket Queue,1000,0.1,0.1676,0.0027,0.0017,0.0406
LL Priority Queue,1000,0.1,0.6292,0.0024,0.0010,0.5106
Priority Queue,1000,0.1,0.2554,0.0005,0.0236,0.0738
Binary Heap,1000,0.1,1.8517,0.1551,0.1451,1.3802
Bucket Queue,1000,0.1,0.2054,0.0027,0.0025,0.0391
LL Priority Queue,1000,0.1,0.7073,0.0024,0.0013,0.5434
Priority Queue,1000,0.1,0.2735,0.0005,0.0253,0.0714
Binary Heap,1000,0.1,1.8883,0.1855,0.1469,1.3799
Bucket Queue,1000,0.1,0.2983,0.0078,0.0038,0.0397
LL Priority Queue,1000,0.1,0.7468,0.0025,0.0017,0.5403
Priority Queue,1000,0.1,0.3281,0.0005,0.0289,0.0757
Binary Heap,1000,0.1,1.9190,0.1655,0.1629,1.3687
Bucket Queue,1000,0.1,0.2244,0.0027,0.0028,0.0391
LL Priority Queue,1000,0.1,0.6884,0.0074,0.0014,0.5116
Priority Queue,1000,0.1,0.2336,0.0005,0.0218,0.0695
Binary Heap,1000,0.1,1.7872,0.1593,0.1330,1.3447
Bucket Queue,1000,0.1,0.2335,0.0024,0.0031,0.0393
LL Priority Queue,1000,0.1,0.7235,0.0021,0.0017,0.5256
Priority Queue,1000,0.1,0.2906,0.0057,0.0262,0.0729
Binary Heap,1000,0.1,1.9435,0.1752,0.1725,1.3536
Bucket Queue,1000,0.1,0.0671,0.0025,0.0004,0.0327
LL Priority Queue,1000,0.1,0.4412,0.0020,0.0002,0.4058
Priority Queue,1000,0.1,0.0738,0.0006,0.0038,0.0481
Binary Heap,1000,0.1,1.1458,0.1540,0.0265,0.9392
Bucket Queue,1000,0.1,0.2728,0.0036,0.0035,0.0395
LL Priority Queue,1000,0.1,0.7418,0.0024,0.0019,0.5192
Priority Queue,1000,0.1,0.3305,0.0005,0.0283,0.0733
Binary Heap,1000,0.1,1.9389,0.1667,0.1677,1.3796
Bucket Queue,1000,0.1,0.1425,0.0070,0.0014,0.0365
LL Priority Queue,1000,0.1,0.5691,0.0026,0.0007,0.4790
Priority Queue,1000,0.1,0.1979,0.0005,0.0177,0.0714
Binary Heap,1000,0.1,1.7078,0.1604,0.1067,1.3298
Bucket Queue,1000,0.1,0.1636,0.0024,0.0018,0.0381
LL Priority Queue,1000,0.1,0.6424,0.0076,0.0010,0.5190
Priority Queue,1000,0.1,0.1965,0.0005,0.0174,0.0705
Binary Heap,1000,0.1,1.7036,0.1573,0.1078,1.3261
Bucket Queue,1000,0.1,0.0396,0.0026,0.0001,0.0262
LL Priority Queue,1000,0.1,0.2734,0.0020,0.0001,0.2593
Priority Queue,1000,0.1,0.0587,0.0059,0.0022,0.0388
Binary Heap,1000,0.1,0.8080,0.1702,0.0109,0.6148
Bucket Queue,1000,0.1,0.2718,0.0036,0.0034,0.0423
LL Priority Queue,1000,0.1,0.7451,0.0019,0.0020,0.5206
Priority Queue,1000,0.1,0.3278,0.0005,0.0278,0.0696
Binary Heap,1000,0.1,1.9830,0.1707,0.1671,1.4152
Bucket Queue,1000,0.1,0.3129,0.0063,0.0038,0.0398
LL Priority Queue,1000,0.1,0.7530,0.0022,0.0022,0.4898
Priority Queue,1000,0.1,0.3753,0.0006,0.0314,0.0684
Binary Heap,1000,0.1,2.0307,0.1867,0.1782,1.3868
Bucket Queue,1000,0.1,0.0959,0.0026,0.0008,0.0351
LL Priority Queue,1000,0.1,0.5306,0.0072,0.0005,0.4626
Priority Queue,1000,0.1,0.1345,0.0007,0.0099,0.0654
Binary Heap,1000,0.1,1.4056,0.1723,0.0490,1.1366
Bucket Queue,1000,0.1,0.1718,0.0036,0.0019,0.0368
LL Priority Queue,1000,0.1,0.6320,0.0081,0.0010,0.4987
Priority Queue,1000,0.1,0.2081,0.0012,0.0182,0.0731
Binary Heap,1000,0.1,1.8199,0.1617,0.1320,1.3772
Bucket Queue,1000,0.1,0.2762,0.0025,0.0037,0.0391
LL Priority Queue,1000,0.1,0.7583,0.0024,0.0021,0.5209
Priority Queue,1000,0.1,0.3417,0.0005,0.0287,0.0751
Binary Heap,1000,0.1,1.9719,0.1834,0.1743,1.3490
Bucket Queue,1000,0.1,0.1107,0.0025,0.0010,0.0354
LL Priority Queue,1000,0.1,0.5609,0.0022,0.0006,0.4841
Priority Queue,1000,0.1,0.1718,0.0005,0.0151,0.0670
Binary Heap,1000,0.1,1.6272,0.1600,0.0876,1.2912
Bucket Queue,1000,0.1,0.3293,0.0063,0.0040,0.0410
LL Priority Queue,1000,0.1,0.7448,0.0024,0.0019,0.5212
Priority Queue,1000,0.1,0.3709,0.0005,0.0299,0.0775
Binary Heap,1000,0.1,2.0035,0.1640,0.1767,1.3864
Bucket Queue,1000,0.1,0.2479,0.0025,0.0029,0.0428
LL Priority Queue,1000,0.1,0.7027,0.0069,0.0016,0.5176
Priority Queue,1000,0.1,0.2700,0.0006,0.0239,0.0806
Binary Heap,1000,0.1,1.8267,0.1621,0.1369,1.3675
Bucket Queue,1000,0.1,0.0417,0.0026,0.0001,0.0271
LL Priority Queue,1000,0.1,0.3182,0.0074,0.0001,0.2966
Priority Queue,1000,0.1,0.0581,0.0006,0.0028,0.0410
Binary Heap,1000,0.1,0.8288,0.1563,0.0117,0.6476
Bucket Queue,1000,0.1,0.1262,0.0038,0.0011,0.0382
LL Priority Queue,1000,0.1,0.5826,0.0022,0.0007,0.4981
Priority Queue,1000,0.1,0.1670,0.0005,0.0140,0.0692
Binary Heap,1000,0.1,1.6825,0.1608,0.0896,1.3415
Bucket Queue,1000,0.1,0.0643,0.0024,0.0004,0.0312
LL Priority Queue,1000,0.1,0.4608,0.0022,0.0003,0.4244
Priority Queue,1000,0.1,0.0890,0.0006,0.0049,0.0572
Binary Heap,1000,0.1,1.1987,0.1537,0.0287,0.9880
Bucket Queue,1000,0.1,0.2796,0.0068,0.0033,0.0398
LL Priority Queue,1000,0.1,0.7329,0.0023,0.0019,0.5179
Priority Queue,1000,0.1,0.3017,0.0005,0.0266,0.0721
Binary Heap,1000,0.1,1.9541,0.1715,0.1693,1.3734
Bucket Queue,1000,0.1,0.3181,0.0024,0.0039,0.0392
LL Priority Queue,1000,0.1,0.7597,0.0072,0.0022,0.5062
Priority Queue,1000,0.1,0.3568,0.0005,0.0299,0.0784
Binary Heap,1000,0.1,1.9262,0.1666,0.1706,1.3386
Bucket Queue,1000,0.1,0.2084,0.0026,0.0026,0.0426
LL Priority Queue,1000,0.1,0.6607,0.0081,0.0012,0.5152
Priority Queue,1000,0.1,0.2084,0.0162,0.0165,0.0735
Binary Heap,1000,0.1,1.7045,0.1615,0.0984,1.3442
Bucket Queue,1000,0.1,0.3459,0.0024,0.0049,0.0406
LL Priority Queue,1000,0.1,0.7589,0.0019,0.0022,0.4974
Priority Queue,1000,0.1,0.3954,0.0005,0.0322,0.0752
Binary Heap,1000,0.1,2.0096,0.1742,0.1759,1.3766
Bucket Queue,1000,0.1,0.1736,0.0023,0.0020,0.0384
LL Priority Queue,1000,0.1,0.6154,0.0021,0.0010,0.4920
Priority Queue,1000,0.1,0.1882,0.0005,0.0172,0.0692
Binary Heap,1000,0.1,1.8298,0.1611,0.1311,1.3955
Bucket Queue,1000,0.1,0.2864,0.0073,0.0037,0.0419
LL Priority Queue,1000,0.1,0.7142,0.0023,0.0019,0.4951
Priority Queue,1000,0.1,0.3179,0.0005,0.0278,0.0682
Binary Heap,1000,0.1,1.9126,0.1686,0.1643,1.3646
Bucket Queue,1000,0.1,0.0843,0.0024,0.0006,0.0328
LL Priority Queue,1000,0.1,0.5030,0.0082,0.0004,0.4444
Priority Queue,1000,0.1,0.1402,0.0006,0.0108,0.0680
Binary Heap,1000,0.1,1.4925,0.1609,0.0618,1.2101
Bucket Queue,1000,0.1,0.0494,0.0028,0.0002,0.0300
LL Priority Queue,1000,0.1,0.3529,0.0019,0.0001,0.3318
Priority Queue,1000,0.1,0.0702,0.0062,0.0030,0.0451
Binary Heap,1000,0.1,1.2606,0.1604,0.0320,1.0359
Bucket Queue,1000,0.1,0.1226,0.0035,0.0010,0.0390
LL Priority Queue,1000,0.1,0.5570,0.0026,0.0006,0.4819
Priority Queue,1000,0.1,0.1823,0.0005,0.0161,0.0681
Binary Heap,1000,0.1,1.6932,0.1613,0.0996,1.3293
Bucket Queue,1000,0.1,0.2342,0.0023,0.0027,0.0400
LL Priority Queue,1000,0.1,0.6867,0.0023,0.0015,0.5050
Priority Queue,1000,0.1,0.3580,0.0006,0.0349,0.0754
Binary Heap,1000,0.1,1.9363,0.1754,0.1585,1.4003
Bucket Queue,1000,0.1,0.0932,0.0074,0.0008,0.0335
LL Priority Queue,1000,0.1,0.5146,0.0025,0.0004,0.4594
Priority Queue,1000,0.1,0.1556,0.0005,0.0130,0.0677
Binary Heap,1000,0.1,1.6393,0.1545,0.0841,1.3175
Bucket Queue,1000,0.1,0.2132,0.0029,0.0025,0.0411
LL Priority Queue,1000,0.1,0.6808,0.0082,0.0014,0.5172
Priority Queue,1000,0.1,0.2374,0.0005,0.0224,0.0713
Binary Heap,1000,0.1,1.7878,0.1749,0.1281,1.3439
Bucket Queue,1000,0.1,0.2638,0.0030,0.0032,0.0409
LL Priority Queue,1000,0.1,0.7325,0.0025,0.0020,0.5129
Priority Queue,1000,0.1,0.3132,0.0063,0.0279,0.0707
Binary Heap,1000,0.1,1.9457,0.1642,0.1715,1.3720
Bucket Queue,1000,0.1,0.0798,0.0024,0.0006,0.0331
LL Priority Queue,1000,0.1,0.4999,0.0024,0.0004,0.4504
Priority Queue,1000,0.1,0.1399,0.0006,0.0109,0.0669
Binary Heap,1000,0.1,1.4908,0.1571,0.0573,1.2206
Bucket Queue,1000,0.1,0.1282,0.0030,0.0012,0.0400
LL Priority Queue,1000,0.1,0.5505,0.0026,0.0006,0.4748
Priority Queue,1000,0.1,0.1431,0.0005,0.0113,0.0667
Binary Heap,1000,0.1,1.6207,0.1684,0.0722,1.3089
Bucket Queue,1000,0.1,0.2923,0.0079,0.0036,0.0385
LL Priority Queue,1000,0.1,0.7721,0.0023,0.0024,0.5168
Priority Queue,1000,0.1,0.3727,0.0005,0.0306,0.0741
Binary Heap,1000,0.1,1.9866,0.1649,0.1723,1.3785
Bucket Queue,1000,0.1,0.2284,0.0026,0.0027,0.0410
LL Priority Queue,1000,0.1,0.7130,0.0237,0.0015,0.5139
Priority Queue,1000,0.1,0.2745,0.0005,0.0250,0.0749
Binary Heap,1000,0.1,1.8899,0.1628,0.1413,1.4220
Bucket Queue,1000,0.1,0.0807,0.0025,0.0006,0.0351
LL Priority Queue,1000,0.1,0.4894,0.0022,0.0004,0.4410
Priority Queue,1000,0.1,0.1358,0.0006,0.0110,0.0632
Binary Heap,1000,0.1,1.5360,0.1677,0.0704,1.2290
Bucket Queue,1000,0.1,0.1510,0.0024,0.0016,0.0366
LL Priority Queue,1000,0.1,0.6019,0.0026,0.0009,0.4966
Priority Queue,1000,0.1,0.2379,0.0005,0.0223,0.0758
Binary Heap,1000,0.1,1.7933,0.1582,0.1327,1.3571
Bucket Queue,1000,0.1,0.1131,0.0068,0.0009,0.0359
LL Priority Queue,1000,0.1,0.5513,0.0024,0.0006,0.4761
Priority Queue,1000,0.1,0.1472,0.0010,0.0119,0.0670
Binary Heap,1000,0.1,1.5058,0.1565,0.0674,1.2172
Bucket Queue,1000,0.1,0.1092,0.0030,0.0009,0.0350
LL Priority Queue,1000,0.1,0.5631,0.0089,0.0006,0.4827
Priority Queue,1000,0.1,0.1259,0.0006,0.0088,0.0652
Binary Heap,1000,0.1,1.4423,0.1565,0.0544,1.1787
Bucket Queue,1000,0.1,0.2463,0.0032,0.0029,0.0391
LL Priority Queue,1000,0.1,0.7120,0.0085,0.0017,0.5074
Priority Queue,1000,0.1,0.3135,0.0006,0.0293,0.0723
